"id","hadith_id","source","tradition","volume","chapter_no","hadith_no","chapter","category","chain_indx","text_ar","text_en","sanad","matn_en","grade_tradition","grade_source","grade_value","gradings_full","url","page_ref"
"rabi_0001","1","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","1","1","في النية","في النية","","قال أبو عمرو الربيع بن حبيب بن عمرو البصري: حدثني أبو عبيدة مسلم بن أبي كريمة التميمي عن جابر بن زيد الأزدي عن عبد الله بن عباس عن النبيء صلى الله عليه وسلم قال: «نية المؤمن خير من عمله».","","","","Ibadi","","","","",""
"rabi_0001b","1","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","1","1","في النية","في النية","","وبهذا السند في رواية أخرى عنه عليه السلام قال: «الأعمال بالنيات ولكل امرئ ما نوى».","","","","Ibadi","","","","",""
"rabi_0002","2","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","2","2","في ابتداء الوحي","في ابتداء الوحي","","قال الربيع بن حبيب: أبو عبيدة عن جابر بن زيد عن عائشة أم المؤمنين رضي الله عنها أنها قالت: سأل الحارث بن هشام رسول الله صلى الله عليه وسلم كيف يأتيك الوحي يا رسول الله؟ قال: «أحيانا يأتيني مثل صلصلة الجرس وهو أشده علي، فيفصم عني وقد وعيت فأعي ما يقول». قالت عائشة رضي الله عنها: ولقد رأيته ينزل عليه الوحي في اليوم الشديد البرد فيفصم عنه وإن جبينه ليتفصد عرقا.","","","","Ibadi","","","","","V01P006"
"rabi_0003","3","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","3","في ذكر القرآن","في ذكر القرآن","","قال الربيع بن حبيب: حدثني أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم أنه قال: «علموا أولادكم القرآن فإنه أول ما ينبغي أن يتعلم من علم الله هو».","","","","Ibadi","","","","","V01P006"
"rabi_0004","4","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","4","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أبي هريرة عن رسول الله صلى الله عليه وسلم قال: «إذا قرأت القرآن فرتله ترتيلا ولا تغنوا به فإن الله يحب أن تسمع الملائكة لذكره».","","","","Ibadi","","","","","V01P006"
"rabi_0005","5","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","5","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أبي سعيد الخدري قال: قال رسول الله صلى الله عليه وسلم: «مثل صاحب القرآن كمثل صاحب الإبل المعقلة، إن عاهد عليها أمسكها، وإن أطلقها ذهبت».","","","","Ibadi","","","","","V01P006"
"rabi_0006","6","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","6","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: قال رسول الله صلى الله عليه وسلم: «من تعلم القرآن ثم نسيه حشر يوم القيامة أجذم».","","","","Ibadi","","","","","V01P006"
"rabi_0007","7","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","7","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك قال: ما جمع القرآن على عهد رسول الله صلى الله عليه وسلم إلا ستة نفر كلهم من الأنصار: أبي ومعاذ وأبو زيد وأبو أيوب وعثمان والباقي من الصحابة قد يحفظ السور المعدودات من القرآن، ومنهم من يحفظ السورة والسورتين.","","","","Ibadi","","","","","V01P007"
"rabi_0008","8","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","8","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أبي سعيد الخدري أن رجلا سمع رجلا يقرأ {قل هو الله أحد الله الصمد لم يلد ولم يولد ولم يكن له كفؤا احد} ويرددها، فلما أصبح غدا على رسول الله صلى الله عليه وسلم فذكر ذلك له فكان الرجل يتقللها فقال رسول الله صلى الله عليه وسلم: «والذي نفسي بيده لإنها لتعدل ثلث القرآن».","","","","Ibadi","","","","","V01P007"
"rabi_0009","9","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","9","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: أقبلت مع رسول الله صلى الله عليه وسلم فسمع رجلا يقرأ: {قل هو الله أحد} إلى آخرها، فقال رسول الله صلى الله عليه وسلم: «وجبت» فقلت: ماذا يارسول الله؟ فقال: «الجنة». قال أبو هريرة: فأردت أن أذهب إلى الرجل فأبشره، ثم خفت أن يفوتني الغداء مع رسول الله صلى الله عليه وسلم، فآثرت الغداء مع رسول الله صلى الله عليه وسلم، فذهبت إلى الرجل فوجدته قد ذهب.","","","","Ibadi","","","","","V01P007"
