"id","hadith_id","source","tradition","volume","chapter_no","hadith_no","chapter","category","chain_indx","text_ar","text_en","sanad","matn_en","grade_tradition","grade_source","grade_value","gradings_full","url","page_ref"
"rida_0001","1","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","1","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","شيخه، وجاء السند من الدين ولو لا السند لقال من شاء ما شاء كان في صدرها سند كل راو إلى النبي صلى الله عليه وآله وكان في الاصل السند مسلسل كل راو يروي عن شيخه ويكتب اسمه واسم شيخه إلى آخره، ولما كان كل راو يحتاج إلى كتب اسمه واسم شيخه الذي يسمع عليه الكتاب ذكرت هنا الإمام القاسم بن محمد عليه السلام وهذا أغلب سند المشايخ يصل إليه ومن تحته من السند كل راو يكتب اسمع مع اسم شيخه في ظاهر الكتاب كما كان يكتب في النسخ الخطية ومتى صل إلى الإمام القاسم فهو مصدر هنا فأقول أروي هذه الصحيفة بالسند الصحيح المتصل إلى الإمام القاسم بن محمد عليه السلام عن شيخه السيد امير الدين بن عبد الله عن السيد احمد ابن عبد الله الوزير عن الإمام شرف الدين عن شيخه السيد إبراهيم بن محمد الوزير عن الإمام المطهر بن محمد بن سليمان عن الإمام المهدي احمد ابن يحيى عن سلمان بن إبراهيم بن عمر العلوي عن ابيه إبراهيم عن رضاء الدين إبراهيم بن محمد الطبري عن الإمام نجيم الدين التبريزي عن الحافظ ابن عساكر عن زاهر السنحاني عن الحافظ البيقهي عن أبي القسم المفسر عن إبراهيم بن جعدة عن أبي القسم عبد الله بن احمد بن عامر الطائي بالبصرة قال: قال حدثني أبي سنة مائتين وستين، قال حدثني علي بن موسى الرضى عليه السلام سنة مائة واربع وتسعين، قال حدثني ابي","","","","Zaydi","","","","","V01P439"
"rida_0002","2","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","2","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","موسى بن جعفر، قال حدثني أبي جعفر بن محمد، قال حدثني أبي محمد بن علي، قال حدثني أبي علي بن الحسين، قال حدثني أبي الحسين ابن علي، قال حدثني أبي عن علي بن أبي طالب سلام الله عليهم أجمعين آمين إلى يوم الدين قال: قال رسول الله صلى الله عليه وآله يقول الله تعالى لا إله إلا الله حصني، فمن دخل حصني أمن من عذابي","","","","Zaydi","","","","","V01P440"
"rida_0003","3","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","3","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده المذكور قال: قال رسول الله صلى الله عليه وآله ان الله عزوجل عمودا من ياقوت احمر رأسه تحت العرش وأسفله على ظهر الحوت في الارض السابعة السفلى فإذا قال العبد لا إله إلا الله اهتز العرش وتحرك العمود وتحرك الحوت، فيقول الله تعالى اسكن عرشي، فيقول كيف اسكن وانت لم تغفر لقائلها، فيقول الله عزوجل اشهدوا سكان سمواتي اني قد غفرت لقائلها.","","","","Zaydi","","","","","V01P441"
"rida_0004","4","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","4","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله من قال حين يدخل السوق سبحان الله والحمد لله ولا إله إلا الله وحده لا شريك له، له الملك وله الحمد يحيى ويميت وهو حي لا يموت بيده الخير وهو على كل شئ قدير أعطي من الاجر بعدد ما خلق الله إلى يوم القيامة. وباسناده قال: قال رسول الله صلى الله عليه وآله من أنعم الله عليه بنعمة فليحمد الله عليها ومن استبطأ الرزق فليستغفر الله ومن أحزنه أمر فليقل لا حول ولا قوة الا بالله العلي العظيم. وباسناده قال: حدثني علي بن الحسين عليه السلام ان يهوديا سأل علي بن أبي طالب قال: اخبرني عما ليس لله وعما ليس عند الله وعما لا يعلمه الله، فقال علي كرم الله وجهه اما ما لا يعلمه الله فذلك قولكم يا معشر اليهود عزير بن الله والله لا يعلم له ولدا واما ما ليس عند الله فليس عند الله ظلم للعبيد، واما ما ليس لله فليس لله شريك، قال اليهوي وانا أشهد أن لا إله إلا الله وان محمدا رسول الله.","","","","Zaydi","","","","","V01P442"
"rida_0005","5","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","5","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله الايمان اقرار باللسان ومعرفة بالقلب وعمل بالاركان. وباسناده قال: قال رسول الله صلى الله عليه وآله يقول الله ما من مخلوق يعتصم بمخلوق دوني الا قطعت أسباب السموات والارض من دونه فان سألني لم أعطه وان دعاني لم أجبه وما من مخلوق يعتصم بي من دون خلقي الا ضمنت السموات والارض برزقه فان سألني أعطيته وإن دعاني أجبته وان استغفرني غفرت له. وباسناده قال: قال رسول الله صلى الله عليه وآله أفضل الاعمال عند الله ايمان لاشك فيه وغزو لا غلول فيه وحج مبرور واول من يدخل الجنة شهيد وعبد مملوك أحسن عبادة ربه ونصح لسيده ورجل عفيف متعفف ذو عيال وأول من يدخل النار امام مسلط لم يعدل وذو ثروة من المال لم يقض حقه وفقير فخور . وباسناده قال: قال رسول الله صلى الله عليه وآله من حفظ على امتي اربعين حديثا ينتفعون بها بعثه الله يوم القيامة فقيها عالما.","","","","Zaydi","","","","","V01P443"
"rida_0006","6","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","6","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله من افتى الناس بغير علم لعنته السموات والارض. وباسناده قال: قال رسول الله صلى الله عليه وآله التوكل والتوحيد نصف الدين واستنزلوا الرزق من عند الله بالصدقة. وباسناده قال: قال رسول اله صلى الله عليه وآله ان موسى بن عمران سأل ربه فرفع يديه فقال بعيد أنت يا رب فأناديك ام قريب فأناجيك فأوحى الله إليه يا موسى أنا جليس من ذكرني.","","","","Zaydi","","","","","V01P444"
"rida_0007","7","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","7","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله ستة من المروءة ثلاثة منها في الحضر وثلاثة في السفر، أما التي في الحضر فتلاوة القرآن وعمارة المساجد واتخاذ الاخوان في الله، وأما التي في السفر فبذل الزاد وحسن الخلق والمزاح في غير معاصي الله تعالى. وباسناده قال: قال رسول الله صلى الله عليه وآله اللهم ارحم خلفائي ثلاث مرات قيل يارسول الله من خلفاؤك، قال الذين يأتون من بعدي ويروون أحاديثي وسنتي ويعلمونها الناس من بعدي، وباسناده قال: قال رسول الله صلى الله عليه وآله ان هذا العلم خزائن الله ومفاتيحه السؤال فاسألوا يرحمكم الله فانه يؤجر فيه اربعة: السائل والمعلم والمستمع والمحب له. وباسناده قال: حدثني أبي محمد بن علي عليهم السلام قال: قال","","","","Zaydi","","","","","V01P445"
"rida_0008","8","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","8","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله ستة من المروءة ثلاثة منها في الحضر وثلاثة في السفر، أما التي في الحضر فتلاوة القرآن وعمارة المساجد واتخاذ الاخوان في الله، وأما التي في السفر فبذل الزاد وحسن الخلق والمزاح في غير معاصي الله تعالي. وباسناده قال: قال رسول الله صلى الله عليه وآله اللهم ارحم خلفائي ثلاث مرات قيل يارسول الله من خلفاؤك، قال الذين يأتون من بعدي ويروون أحاديثي وسنتي ويعلمونها الناس من بعدي. وباسناده قال: قال رسول الله صلى الله عليه وآله ان هذا العلم خزائن الله ومفاتيحه السؤال فاسألوا يرحمكم الله فانه يؤجر فيه اربعة: السائل والمعلم والمستمع والمحب له. وباسناده قال: حدثني أبي محمد بن علي عليهم السلام قال: قال عليه السلام خمسة لو دخلتم فيهن ما قدرتم على مثلهن، لا يخاف عبد الا ذنبه ولا يرجو الا ربه ولا يستحيي الجاهل إذا سئل عما لم يعلم ان يقول الله ورسوله أعلم ولا يستحيى الذي لا يعلم ان يتعلم والصبر من الايمان بمنزلة الرأس من الجسد ولا ايمان لمن لا صبر له. وباسناده قال: حدثني الحسين بن علي عليهما السلام قال: وجد لوح تحت حائط مدينة من المدائن مكتوب فيه انا الله لا إله الا انا ومحمد نبيي عجبت لمن أيقن بالموت كيف يفرح وعجبت لمن أيقن بالقدر كيف يحزن وعجبت لمن اختبر بالدنيا كيف يطمئن إليها وعجبت لمن أيقن بالحساب كيف يذنب. وباسناده قال: قال رسول الله صلى الله عليه وآله من قرأ إذا زلزلت الارض اربع مرات كان كمن قرأ القرآن كله.","","","","Zaydi","","","","","V01P447"
"rida_0009","9","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","9","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله أتاني ملك فقال يا محمد ان ربك يقرئك السلام ويقول لك ان شئت جعلت لك بطحاء مكة ذهبا قال فرفع رأسه إلى السماء فقال يا رب اشبع يوما فأحمدك وأجوع يوما فأسألك. الباب الثاني في الاذان وباسناده قال: قال امير المؤمنين علي بن ابى طالب عليه السلام لما بدأ رسول الله صلى الله عليه وآله بتعليم الاذان أتى جبريل بالبراق فاستصعب عليه ثم أتاه بدابة يقال لها براقة فاستصعبت عليه، فقال لها جبريل اسكني براقة فما ركبك أحد أكرم على الله منه فسكنت، فقال رسول الله صلى الله عليه وآله فركبتها حتى انتهت إلى الحجاب الذي يلي الرحمن تبارك وتعالى فخرج ملك من وراء الحجاب، فقال الله أكبر الله أكبر، قال فقلت يا جبريل ومن هذا الملك، قال والذي أكرمك بالنبوءة ما رأيت هذا الملك قبل ساعتي هذه، فقال الله أكبر الله أكبر فنودي من وراء الحجاب صدق عبدي أنا أكبر أنا أكبر، قال رسول الله صلى الله عليه وآله فقال الملك أشهد ان لا إله إلا الله أشهد ان لا إله إلا الله، فنودي من وراء الحجاب صدق عبدي انا الله لا إله إلا انا، قال رسول الله صلى الله عليه وآله فقال الملك أشهد ان محمدا رسول الله أشهد ان محمدا رسول الله، فنودي من وراء الحجاب صدق عبدي انا أرسلت محمدا رسولا، قال رسول الله صلى الله عليه وآله فقال الملك حي على الصلاة حي على الصلاة، فنودي من وراء الحجاب صدق عبدي ودعا إلى عبادتي، قال رسول الله صلى الله عليه وآله فقال الملك حي على الفلاح حي على الفلاح، فنودي من وراء الحجاب صدق عبدي ودعا إلى عبادتي قد أفلح من واظب عليها، قال رسول الله صلى الله عليه وآله أكمل الله لي الشرف على الاولين والآخرين. الباب الثالث في الحث على الصلوات الخمس وصفة صلاة الجنازة وباسناده قال: قال رسول الله صلى الله عليه وآله لا يزال الشيطان ذاعرا من ابن آدم ما حافظ على الصلوات الخمس فإذا ضيعهن تجرأ عليه وأوقعه في العظائم. وباسناده قال: قال رسول الله صلى الله عليه وآله من أدى فريضة فله عند الله دعوة مستجابة. وباسناده قال: قال رسول الله صلى الله عليه وآله لا تزال أمتي بخير ما تحابوا وأدوا الامانة واجتنبوا الحرام وأقروا الضيف وأقاموا الصلاة وآتوا الزكاة فان لم يفعلوا ذلك ابتلوا بالسنين والقحط. وباسناده قال: قال رسول الله صلى الله عليه وآله إذا لم يستطع الرجل ان يصلي قائما صلى جالسا فان لم يستطع ان يصلي جالسا فليصل مستلقيا على قفاه رجليه حيال القبلة يومئ ايماء.","","","","Zaydi","","","","","V01P450"
"rida_0010","10","Sahifat al-Imam Ali al-Rida","Zaydi","1","1","10","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","الباب الاول في الذكر ولما كانت هذه الاحاديث المسلسة كل راو يروي عن","","وباسناده قال: قال رسول الله صلى الله عليه وآله حافظوا على الصلوات الخمس فان الله عزوجل إذا كان يوم القيامة يدعو العبد فأول شئ يسأل عنه الصلاة فإذا جاء بها تامة والا زج في النار. وباسناده قال: قال رسول الله صلى الله عليه وآله لاصحابه لا تضيعوا صلاتكم فان من ضيع صلاته حشر مع قارون وفرعون وهامان وكان حقا على الله ان يدخله النار مع المنافقين والويل لمن لم يحافظ على صلاته واداء سنة نبيه. وباسناده قال علي صلوات الله عليه: صلى بنا رسول الله صلى الله عليه وآله صلاة السفر فقرأ في الاولى الحمد قل يا ايها الكافرون وفي الاخرى الحمد وقل هو الله أحد ثم قال قرأت لكم ثلث القرآن وربعه. وباسناد قال: سئل محمد بن علي عليه السلام عن الصلاة فزعم ان أباه كان يقصر الصلاة في السفر.","","","","Zaydi","","","","","V01P451"
