"id","hadith_no","source","tradition","bab","text_ar"
"zayd_0001","1","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في ذكر الوضوء :","حدثني عبد العزيز بن اسحاق بن جعفر بن الهيثم القاضي البغدادي قال: حدثنا أبو القسم علي بن محمد النخعي الكوفي قال: حدثنا سليمان ابن إبراهيم بن عبيد المحاربي قال: حدثني نصر بن مزاحم المنقري العطار قال: حدثني إبراهيم بن الزبرقان التيمي قال: حدثني أبو خالد الواسطي رحمهم الله تعالى قال: حدثني زيد بن علي عن ابيه علي بن الحسين عن جده الحسين بن علي امير المؤمنين علي بن أبي طالب عليهم السلام قال: رأيت رسول الله صلى الله عليه وسلم توضأ فغسل وجهه وذراعيه ثلاثا ثلاثا وتضمض واستنشق ثلاثا ثلاثا ومسح برأسه وأذنيه مرة وغسل قدميه ثلاثا. قال أبو خالد رحمه الله: وسألت زيدا بن علي عليه السلام عن الرجل ينسى مسح رأسه حتى يجف وضوؤه، (قال) عليه السلام: يعيد مسح رأسه ويجزئه ولا يعيد وضوءه. (وقال) زيد بن علي عليهما السلام: الاستنجاء سنة مؤكدة ولايجوز تركها الا ان لا يجد الماء. (وقال) زيد بن علي عليهما السلام: المضمضة والاستنشاق سنة وليس مثل الاستنجاء. (وقال) زيد بن علي عليه السلام: لا يجوز ترك المضمضة والاستنشاق في غسل الجنابة . قال عليه السلام: ولا بأس ان يتوضأ بسؤر الحائض، والجنب ليس الحيض والجنابة في اليد انما هي حيث جعلها الله عزوجل. (وقال) زيد بن علي عليه السلام: ولا يجوز ان يتوضأ بماء قد ولغ الكلب فيه ولا سبع . (وقال) زيد بن علي عليه السلام: ولا بأس بسؤر السنور والشاة والبعير والفرس، واما البغل والحمار فان كان لهما لعاب لم يتوضأ بسؤرهما، وان لم يكن لهما لعاب أجزأ ان يتوضأ به وان كنت لا تدري له لعاب أم لا فتركه أصلح الا ان لا تجد غيره. (وقال) زيد بن علي عليه السلام: ولا يجوز الوضوء باللبن ولا بالنبيذ كان حلوا أو شديدا. ولا يجوز الوضوء الا بالماء كما قال تعالى: (ماء طهورا). (حدثني) أبو خالد قال: سألت زيدا بن علي عليه السلام عما ينقض الوضوء فقال: الغائط والبول والريح والرعاف والقئ والمدة والصديد والنوم مضطجعا. قال زيد بن علي عليه السلام: ولا بأس بالوضوء من ماء الحمام. (وقال) زيد بن علي عليه السلام: إذا وطئت شيئا من رجيع الدواب وهو رطب فاغسله، وان كان يابسا فلا بأس به. قال: والخيل والبغال والحمير في ذلك سواء. وكان زيد بن علي عليه السلام يرخص في لحم الخيل ويكره رجيعها وأبوالها. (قال) زيد بن علي عليه السلام: ولا بأس بأبوال الغنم والابل والبقر وما يؤكل لحمه يصيب الثوب. (قال) زيد بن علي عليه السلام: ولا يجوز للمرأة ان تمسح على الخمار وان مسحت مقدم رأسها أجزأها. (قال) زيد بن علي عليه السلام في الدم يصيب الثوب: فان كان دون الدرهم فلا بأس به وان تغسله كان احسن، فان كان اكثر من قدر الدرهم فاغسله. (حدثني) أبو خالد قال:"
"zayd_0002","2","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في ذكر الوضوء :","= حدثني زيد بن علي عن آبائه عن علي بن أبي طالب عليهم السلام قال: رأيت رسول الله صلى الله عليه وآله وطئ بعر بعير رطب فمسحه بالارض وصلى ولم يحدث وضوءا ولم"
"zayd_0003","3","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في ذكر الوضوء :","يغسل قدما. (حدثني) زيد بن علي قال: كان يقول أبي علي بن الحسين ابن علي عليهم السلام: إذا ظهر البول على الحشفة فاغسله . قال: وسألت زيدا بن علي عليه السلام عن القلس فقال: الوضوء في قليله وكثيره. ("
"zayd_0004","4","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في ذكر الوضوء :","= حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب (ع م) قال: قال رسول الله صلى الله عليه وآله: (القلس يفسد الوضوء). قال أبو خالد رحمه الله تعالى: وسألت زيدا عن القبلة تنقض الوضوء فقال: لا ينقض الوضوء الا الحدث وليس هذا بحدث، قال: وسألت زيد بن علي عليه السلام عن الرجل يأكل لحم الابل أو لحم الغنم هل ينقض ذلك وضوءه؟ فقال لا. وقال: انما الوضوء من ذلك أدب."
"zayd_0005","5","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في ذكر الوضوء :","= حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب عليهم السلام قال: لا وضوء على من مس ذكره."
"zayd_0006","6","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","حدثني نصر بن مزاحم قال: حدثني إبراهيم بن الزبرقان قال حدثني أبو خالد عمرو بن خالد الواسطي عن زيد بن علي عن أبيه عن جده عن علي بن أبي طالب عليهم السلام قال: الغسل من الجنابة واجب ومن غسل الميت سنة وان تطهرت أجزأك، والغسل من الحجامة وان تطهرت أجزأك، وغسل العيدين وما أحب ان أدعهما، وغسل الجمعة وما أحب ان أدعه لأني سمعت رسول الله صلى الله عليه وآله يقول: "" من أتى الجمعة فليغتسل ""."
"zayd_0007","7","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","حدثني أبو خالد رحمه الله قال: سألت زيدا عليه السلام عن الغسل من الجنابة فقال: تغسل يديك ثلاثا ثم تستنجي وتتوضأ وضوءك للصلاة ثم تغسل رأسك ثلاثا ثم تفيض الماء على سائر جسدك ثلاثا ثم تغسل قدميك . قال حدثني بهذا أبي عن أبيه عن جده عن علي بن أبي طالب كرم الله وجهه عن النبي صلى الله عليه وآله. و= حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب (ع م) قال جاء رجل إلى النبي صلى الله عليه وآله فقال يارسول الله اصابتني جنابة فغسلت رأسي ثم جلست حتى جف رأسي أفأعيد الماء على رأسي فقال لابل يجزئك غسل رأسك عن الاعادة."
"zayd_0008","8","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","حدثني زيد بن علي عن أبيه عن جده علي بن أبي طالب عليهم السلام قال إذا التقى الختانان وتوارت الحشفة فقد وجب الغسل أنزل أو لم"
"zayd_0009","9","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","ينزل وقال زيد بن علي عليه السلام كيف يجب الحد ولا يجب الغسل قال سألت زيدا عليه السلام عن المرأة ترى في المنام الاحتلام فتنزل قال تغتسل وقال زيد بن علي عليه السلام في الرجل يجد البلل ولا يرى الرؤيا قال ان كان ماء دافقا اغتسل قال سألته عليه السلام عن المني يصيب الثوب قال يغسل قليله وكثيره قال والبول والغائط يغسل قليله وكثيره."
"zayd_0010","10","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي بن أبي طالب عليه السلام. قال كنت رجلا مذءا فاستحييت ان اسأل رسول الله صلى الله عليه وآله عن ذلك لمكان ابنته مني فأمرت المقداد ابن الاسود فسأله فقال "" يا مقداد هي امور ثلاثة الودي شئ يتبع البول كهيئة المني فذلك منه الطهور ولا غسل منه والمذي ان ترى شيئا أو تذكره فينتشر فذلك منه الطهور ولا غسل منه والمني الماء الدافق إذا وقع مع الشهوة وجب الغسل "". قال الإمام زيد بن علي عليه السلام : أحب للجنب ان يبول قبل ان يغتسل وان لم يفعل أجزأه الغسل."
